color,name,japanese,english
0x8da399,Morning blue,,morning blue
0x8a9a5b,Moss green,,moss green
0x30ba8f,Mountain Meadow,,mountain meadow
0x997a8d,Mountbatten pink,,mountbatten pink
0x18453b,MSU green,,msu green
0xc54b8c,Mulberry,,mulberry
0xc8509b,Mulberry (Crayola),,mulberry (crayola)
0xffdb58,Mustard,,mustard
0x317873,Myrtle green,,myrtle green
0xd65282,Mystic,,mystic
0xad4379,Mystic maroon,,mystic maroon
0xf6adc6,Nadeshiko pink,,nadeshiko pink
0xfada5e,Naples yellow,,naples yellow
0xffdead,Navajo white,,navajo white
0x000080,Navy blue,,navy blue
0x1974d2,Navy blue (Crayola),,navy blue (crayola)
0x4666ff,Neon blue,,neon blue
0xffa343,Neon Carrot,,neon carrot
0x39ff14,Neon green,,neon green
0xfe4164,Neon fuchsia,,neon fuchsia
0xd7837f,New York pink,,new york pink
0x727472,Nickel,,nickel
0xa4dded,Non-photo blue,,non-photo blue
0xe9ffdb,Nyanza,,nyanza
0x4f42b5,Ocean Blue,,ocean blue
0x48bf91,Ocean green,,ocean green
0xcc7722,Ochre,,ochre
0x43302e,Old burgundy,,old burgundy
0xcfb53b,Old gold,,old gold
0xfdf5e6,Old lace,,old lace
0x796878,Old lavender,,old lavender
0x673147,Old mauve,,old mauve
0xc08081,Old rose,,old rose
0x848482,Old silver,,old silver
0x808000,Olive,,olive
0x6b8e23,Olive Drab (#3),,olive drab (#3)
0x3c341f,Olive Drab #7,,olive drab #7
0xb5b35c,Olive green,,olive green
0x9ab973,Olivine,,olivine
0x353839,Onyx,,onyx
0xa8c3bc,Opal,,opal
0xb784a7,Opera mauve,,opera mauve
0xff7f00,Orange,,orange
0xff7538,Orange (Crayola),,orange (crayola)
0xff5800,Orange (Pantone),,orange (pantone)
0xffa500,Orange (web),,orange (web)
0xff9f00,Orange peel,,orange peel
0xff681f,Orange-red,,orange-red
0xff5349,Orange-red (Crayola),,orange-red (crayola)
0xfa5b3d,Orange soda,,orange soda
0xf5bd1f,Orange-yellow,,orange-yellow
0xf8d568,Orange-yellow (Crayola),,orange-yellow (crayola)
0xda70d6,Orchid,,orchid
0xf2bdcd,Orchid pink,,orchid pink
0xe29cd2,Orchid (Crayola),,orchid (crayola)
0x2d383a,Outer space (Crayola),,outer space (crayola)
0xff6e4a,Outrageous Orange,,outrageous orange
0x4a0000,Oxblood,,oxblood
0x002147,Oxford blue,,oxford blue
0x841617,OU Crimson red,,ou crimson red
0x1ca9c9,Pacific blue,,pacific blue
0x006600,Pakistan green,,pakistan green
0x682860,Palatinate purple,,palatinate purple
0xbcd4e6,Pale aqua,,pale aqua
0x9bc4e2,Pale cerulean,,pale cerulean
0xed7a9b,Pale Dogwood,,pale dogwood
0xfadadd,Pale pink,,pale pink
0xfae6fa,Pale purple (Pantone),,pale purple (pantone)
0xc9c0bb,Pale silver,,pale silver
0xecebbd,Pale spring bud,,pale spring bud
0x78184a,Pansy purple,,pansy purple
0x009b7d,Paolo Veronese green,,paolo veronese green
0xffefd5,Papaya whip,,papaya whip
0xe63e62,Paradise pink,,paradise pink
0xf1e9d2,Parchment,,parchment
0x50c878,Paris Green,,paris green
0xdea5a4,Pastel pink,,pastel pink
0x800080,Patriarch,,patriarch
0x536878,Payne's grey,,payne's grey
0xffe5b4,Peach,,peach
0xffcba4,Peach (Crayola),,peach (crayola)
0xffdab9,Peach puff,,peach puff
0xd1e231,Pear,,pear
0xb768a2,Pearly purple,,pearly purple
0xccccff,Periwinkle,,periwinkle
0xc3cde6,Periwinkle (Crayola),,periwinkle (crayola)
0xe12c2c,Permanent Geranium Lake,,permanent geranium lake
0x1c39bb,Persian blue,,persian blue
0x00a693,Persian green,,persian green
0x32127a,Persian indigo,,persian indigo
0xd99058,Persian orange,,persian orange
0xf77fbe,Persian pink,,persian pink
0x701c1c,Persian plum,,persian plum
0xcc3333,Persian red,,persian red
0xfe28a2,Persian rose,,persian rose
0xec5800,Persimmon,,persimmon
0x8ba8b7,Pewter Blue,,pewter blue
0xdf00ff,Phlox,,phlox
0x000f89,Phthalo blue,,phthalo blue
0x123524,Phthalo green,,phthalo green
0x2e2787,Picotee blue,,picotee blue
0xc30b4e,Pictorial carmine,,pictorial carmine
0xfddde6,Piggy pink,,piggy pink
0x01796f,Pine green,,pine green
0x2a2f23,Pine tree,,pine tree
0xffc0cb,Pink,,pink
0xd74894,Pink (Pantone),,pink (pantone)
0xfc74fd,Pink flamingo,,pink flamingo
0xffddf4,Pink lace,,pink lace
0xd8b2d1,Pink lavender,,pink lavender
0xf78fa7,Pink Sherbet,,pink sherbet
